Block_Group,Population
40132168223,1175
40132168261,1099
40132168262,1699
40132168263,1019
40132168264,704
40132168291,1755
40132168292,1612
40132168293,1323
40132168301,1645
40132168302,1499
40132168311,1235
40132168312,1661
40132168321,1151
40132168322,1117
40132168331,1648
40132168332,1300
40132168333,1550
40132168341,1240
40132168342,978
40132168351,1707
40132168352,776
40132168361,2055
40132168362,1525
40132168371,1121
40132168372,1870
40132168373,1617
40132168381,1767
40132168382,1300
40132168383,1724
40132168391,1218
40132168392,1282
40132168393,1453
40132168401,2565
40132168402,1027
40132168403,1002
40132168411,1031
40132168412,2025
40132168421,1076
40132168422,2480
40132168431,435
40132168432,913
40132168433,1966
40132168441,1331
40132168442,1634
40132168451,954
40132168452,938
40132168461,1439
40132168462,2211
40132168463,1300
40132168464,1635
40132168471,1995
40132168472,3830
40132168481,1943
40132168482,1911
40132168483,2172
40132168491,1185
40132168492,842
40132168493,1681
40132168494,3028
40132168501,582
40132168502,2031
40132168503,1555
40132168511,407
40132168512,1438
40132168513,1227
40132168514,1071
40132168521,1845
40132168522,1016
40132168531,1374
40132168532,1263
40132168533,941
40132168534,938
40132169011,964
40132169012,1464
40132169013,277
40132169021,2057
40132169022,1873
40132170011,587
40132170012,579
40132170013,891
40132170014,396
40132170015,558
40132170016,879
40132170021,1538
40132170022,1457
40132170023,1070
40132170024,1286
40132171011,830
40132171012,886
40132171013,750
40132171021,1074
40132171022,1398
40132172011,243
40132172012,1140
40132172031,991
40132172032,675
40132172033,622
40132172034,516
40132172041,1028
40132172042,1088
40132172043,1050
40132173001,1226
40132173002,827
40132173003,702
40132174001,445
40132174002,731
40132174003,641
40132174004,1268
40132175011,899
40132175012,1059
40132175013,1335
40132175021,536
40132175022,1253
40132175023,965
40132176001,1212
40132176002,1544
40132176003,1542
40132177001,2140
40132177002,1391
40132177003,1386
40132178001,1785
40132178002,1382
40132178003,1420
40132178004,1472
40132179001,1786
40132179002,837
40132179003,1096
40132180001,1279
40132180002,1475
40132180003,941
40132180004,1693
40132181001,858
40132181002,1003
40132182001,1375
40132182002,1158
40132182003,1598
40132182004,1133
40132183001,1304
40132183002,1370
40132183003,1279
40133184001,1626
40133184002,1789
40133184003,1235
40133185011,1692
40133185012,958
40133185013,550
40133187001,1989
40133187002,686
40133188001,1309
40133188002,1522
40133188003,1449
40133188004,1777
40133189001,2133
40133189002,1363
40133189003,1453
40133189004,1305
40133190001,3743
40133190002,809
40133190003,474
40133190004,4081
40133191011,1849
40133191012,1093
40133191031,2112
40133191032,816
40133191033,1576
40133191041,1189
40133191042,2232
40133191043,955
40133191044,726
40133192011,1479
40133192012,1645
40133192013,714
40133192014,1467
40133192021,1555
40133192022,1677
40133193001,2420
40133194011,617
40133194012,1476
40133194013,1336
40133194014,1288
40133194015,763
40133194021,1991
40133194022,2097
40133194031,1366
40133194032,1233
40133194033,827
40133194034,1094
40133194041,1433
40133194042,1900
40133195001,1442
40133195002,1169
40133195003,730
40133195004,2108
40133196001,1320
40133196002,1136
40133196003,1312
40133196004,1668
40133197031,1916
40133197032,649
40133197033,1783
40133197041,1483
40133197051,1708
40133197052,983
40133197053,721
40133197061,1522
40133197062,908
40133197063,2516
40133198001,1483
40133198002,637
40133198003,709
40133198004,1632
40133198005,1160
40133198006,974
40133199021,1258
40133199022,1214
40133199031,2217
40133199032,1017
40133199033,843
40133199034,1589
40133199041,2215
40133199042,1096
40133199043,1554
40133199051,1607
40133199052,1078
40133199053,1100
40133199054,1005
40133199061,2071
40133199062,1102
40133199071,854
40133199072,1371
40133199081,2211
40133199091,2278
40133199101,2285
40133199102,1726
40133200011,2299
40133200012,1380
40133200013,2461
40133200014,883
40133200021,1320
40133200022,1588
40133200023,1038
40133200024,1577
40133200071,1035
40133200072,1613
40133200073,2554
40133200074,1472
40133201001,1418
40133201002,1140
40134201041,2515
40134201042,2553
40134201051,1741
40134201052,1747
40134201053,1707
40134201071,2250
40134201072,2511
40134201073,1795
40134201081,1406
40134201091,2467
40134201092,1371
40134201101,2401
40134201102,2464
40134201111,1594
40134201112,1171
40134201113,1183
40134201121,1158
40134201122,2114
40134201131,1377
40134201132,2003
40134201141,567
40134201142,1544
40134201143,1164
40134201151,688
40134201152,952
40134201153,937
40134201161,931
40134201162,1104
40134201163,830
40134202021,2104
40134202022,1530
40134202023,1453
40134202061,1737
40134202062,1858
40134202071,1694
40134202072,1015
40134202081,1443
40134202082,2027
40134202083,1809
40134202091,2261
40134202092,864
40134202093,855
40134202101,1192
40134202102,1451
40134202103,1279
40134202104,1127
40134202111,2484
40134202112,2164
40134202121,1511
40134202122,1314
40134202131,1753
40134202141,688
40134202142,952
40134202143,856
40134202144,1015
40134202151,1760
40134202161,1630
40134202162,2259
40134203011,2224
40134203021,1358
40134203022,1462
40134203023,2119
40134203031,2518
40134203032,1621
40134203041,1081
40134204011,1456
40134204012,1996
40134204013,1202
40134204021,1014
40134204022,611
40134205011,1256
40134205012,1547
40134205013,1856
40134205014,1619
40134205031,1291
40134205032,2139
40134205041,997
40134205042,2241
40134206021,2115
40134206022,1277
40134206023,1354
40134206031,2435
40134206032,1247
40134206041,2112
40134206042,2161
40134207041,1851
40134207042,1703
40134207043,1356
40134207051,1469
40134207052,2100
40134207061,1824
40134207062,865
40134207063,1611
40134207071,785
40134207072,1491
40134207081,878
40134207082,2876
40134207091,1533
40134207092,396
40134207093,697
40134207101,447
40134207102,1192
40134207103,1348
40134208001,1417
40134208002,668
40134208003,1132
40134208004,1528
40134209011,1672
40134209012,1486
40134209021,1577
40134209022,1786
40134210011,2022
40134210012,1534
40134210021,898
40134210022,1748
40134211011,1104
40134211012,1452
40134211013,1330
40134211021,889
40134211022,1443
40134211023,770
40134211024,881
40134211025,1297
40134212011,1806
40134212012,2432
40134212013,568
40134212021,1652
40134212022,1338
40134212023,774
40134213021,1996
40134213022,2858
40134213023,496
40134213024,628
40134213031,1728
40134213032,1648
40134213033,1397
40134213041,1143
40134213042,1775
40134214001,435
40134214002,598
40134214003,500
40134214004,882
40134215011,570
40134215012,1280
40134215013,1573
40134215021,1612
40134215022,1778
40134216011,1941
40134216012,1385
40134216021,1708
40134216022,1082
40134216023,1384
40134217011,2097
40134217012,1790
40134217013,714
40134217021,759
40134217022,1823
40134217023,822
40134218011,894
40134218012,1839
40134218021,1378
40134218022,2160
40134218023,1196
40134219011,1935
40134219012,2066
40134219021,987
40134219022,1856
40134219023,1227
40134219024,1832
40134220011,2120
40134220012,2006
40134220021,1473
40134220022,1099
40134220023,1313
40134221021,1109
40134221022,2050
40134221023,1195
40134221031,2023
40134221032,1672
40134221033,1208
40134221041,943
40134221042,1139
40134221043,1070
40134221044,1047
40134221045,1608
40134221051,1545
40134221052,1633
40134221061,2769
40134221062,1517
40134221063,1338
40134221071,2428
40134221072,1260
40134222031,2592
40134222032,862
40134222033,1000
40134222041,1776
40134222042,1018
40134222051,1384
40134222091,1205
40134222092,2105
40134222093,685
